indicator_value__|,1990,indicator_value__|__140606__1991,1992,1993,1994,indicator_value__|__140606__1995,1996,1997,1998,1999,indicator_value__|__140606__2000,2001,2002,2003,2004,indicator_value__|__140606__2005,2006,2007,2008,2009,indicator_value__|__140606__2010,indicator_value__|__140606__2011,indicator_value__|__140606__2012,indicator_value__|__140606__2013,indicator_value__|__140606__2014,indicator_value__|__140606__2015,indicator_value__|__140606__2016,indicator_value__|__140606__2017,indicator_value__|__140606__2018,indicator_value__|__140606__2019
KEN,,2.711,,,,2.841,,,,,2.86,,,,,2.815,,,,,2.842,2.844,2.854,2.867,2.824,2.794,2.757,2.695,2.635,2.642
KGZ,,1,,,,5.6,,,,,7.54,,,,,8.11,,,,,8.64,8.53,8.43,8.33,8.05,7.56,7.21,6.89,5.96,6.33
KHM,,0.768,,,,0.834,,,,,1.072,,,,,1.346,,,,,0.771,0.577,0.505,0.438,0.692,0.393,0.716,0.683,0.652,0.677
KOR,,2.407,,,,2.063,,,,,4.4,,,,,3.7,,,,,3.7,3.4,3.2,3.1,3.5,3.6,3.7,3.7,3.848,4.148
KWT,,0.493,,,,0.767,,,,,0.8,,,,,1.57,,,,,1.82,2.216,2.615,2.922,2.9,2.2,2.16,1.798,2.076,2.182
LAO,,2.447,,,,2.6,,,,,1.953,,,,,1.35,,,,,0.708,0.709,0.712,0.717,0.702,0.692,0.68,0.66,0.641,0.626
LBN,,8.394,,,,8.616,,,,,8.3,,,,,8.288,,,,,6.419,6.422,6.435,6.452,6.396,6.357,6.309,6.225,6.143,6.229
LBR,,2.154,,,,2.259,,,,,2.276,,,,,2.242,,,,,2.266,2.238,2.215,2.196,2.132,2.079,3.081,3.004,2.932,2.814
LBY,,18.655,,,,18.98,,,,,19.034,,,,,18.928,,,,,18.999,19.005,19.03,19.063,18.956,18.881,18.789,18.627,18.468,18.563
LCA,,16.552,,,,15.83,,,,,16.49,,,,,18.7,,,,,17.121,18.86,19.06,22.21,23.124,24.09,21.263,21.069,20.879,20.706
LKA,,14.661,,,,12.27,,,,,7.74,,,,,7.67,,,,,4.784,4.118,3.88,4.241,4.194,4.519,4.242,4.18,4.119,4.198
LSO,,37.425,,,,37.932,,,,,35.268,,,,,30.784,,,,,26.814,26.042,25.302,24.58,24.471,24.394,24.3,24.134,23.971,23.405
LTU,,1.1,,,,17.54,,,,,15.931,,,,,8.325,,,,,17.814,15.39,13.365,11.77,10.698,9.12,7.862,7.073,6.147,6.352
LUX,,1.482,,,,2.918,,,,,2.345,,,,,4.488,,,,,4.361,4.901,5.14,5.848,5.852,6.669,6.291,5.522,5.585,5.363
LVA,,2.7,,,,19,,,,,14.211,,,,,10.033,,,,,19.482,16.206,15.047,11.867,10.846,9.873,9.643,8.715,7.412,6.52
MAR,,13.54,,,,13.852,,,,,13.58,,,,,11.01,,,,,9.09,8.91,8.99,9.23,9.7,9.46,9.3,9.187,9.078,9.019
MDA,,1.9,,,,5.3,,,,,8.46,,,,,7.29,,,,,7.446,6.682,5.578,5.104,3.856,3.694,4.185,4.098,2.978,5.473
MDG,,5.531,,,,5.76,,,,,5.8,,,,,2.62,,,,,4.28,2.019,0.599,0.936,1.327,1.785,1.763,1.725,1.689,1.758
MDV,,0.758,,,,0.79,,,,,1.97,,,,,2.925,,,,,4.143,4.409,4.695,4.996,5.21,5.667,6.12,5.981,5.849,6.138
MEX,,3.047,,,,6.888,,,,,2.563,,,,,3.558,,,,,5.303,5.17,4.887,4.914,4.809,4.313,3.859,3.42,3.283,3.425
MKD,,35.517,,,,35.992,,,,,32.2,,,,,37.25,,,,,32.02,31.377,31.016,28.996,28.03,26.068,23.724,22.381,20.736,17.759
MLI,,3.21,,,,3.298,,,,,5.322,,,,,9.784,,,,,8.07,6.9,7.096,7.3,6.375,7.729,7.553,7.33,7.11,7.224
MLT,,5.436,,,,6.168,,,,,6.323,,,,,6.923,,,,,6.847,6.378,6.196,6.106,5.725,5.379,4.687,4.001,3.716,3.473
MMR,,0.73,,,,0.784,,,,,0.792,,,,,0.774,,,,,0.785,0.786,0.79,0.796,0.778,0.766,1.141,1.551,1.494,1.577
MNG,,5.928,,,,6.111,,,,,6.144,,,,,7.11,,,,,6.549,4.769,3.905,4.231,4.798,4.861,7.235,6.359,6.254,6.011
MOZ,,2.587,,,,2.698,,,,,2.841,,,,,3.012,,,,,3.259,3.305,3.362,3.422,3.417,3.426,3.383,3.308,3.237,3.241
MRT,,9.595,,,,9.83,,,,,9.868,,,,,9.791,,,,,9.842,9.846,9.865,9.888,9.811,9.758,9.692,9.577,9.464,9.548
MUS,,9.345,,,,9.59,,,,,9.223,,,,,9.524,,,,,7.654,7.447,7.472,7.322,7.467,7.41,6.814,6.752,6.657,6.674
